pid,Appliance_Type,Brand,kWh.yr,EER_Energy_Efficiency_Ratio,SEER_Seasonal_Energy_Efficiency_Ratio,Cooling_Capacity_BTUs,Energy_Star,Size,Product_Width_.in..,Product_Depth_.in..,Product_Height_.in..,Product_Volume_.cu._in..
04280105000P,Window Air Conditioners,Frigidaire,1755.87,9.4,-,10000,Yes,26.5 in. W x 25.5 in. D x 18.63 in. H,26.5,25.5,18.63,12589.2225
04210002000P,Portable Air Conditioners,AMCOR,-,-,-,10000,No,20 in. W x 16 in. D x 33 in. H,20,16,33,10560
04279081000P,Window Air Conditioners,Kenmore,555,10.8,-,8000,No,18.5 in. W x 15.7 in. D x 12.5 in. H,18.5,15.7,12.5,3630.625
04247562000P,Accessories,Culligan,-,-,-,-,-,-,-,-,-,-
04219102000P,Portable Air Conditioners,SPT,-,-,-,10000,No,15 in. W x 16 in. D x 30 in. H,15,16,30,7200
04238509000P,Accessories,Culligan,-,-,-,-,-,-,-,-,-,-
04201611000P,Window Air Conditioners,Hanover,4905,10.7,-,5200,Yes,16.25 in. W x 15.75 in. D x 12.31 in. H,16.25,15.75,12.31,3150.590625
04279120000P,Portable Air Conditioners,DeLONGHI,-,-,-,12000,No,-,-,-,-,-
04219120000P,Portable Air Conditioners,SPT,-,-,-,12000,No,-,-,-,-,-
04201083000P,Portable Air Conditioners,DeLONGHI,0,9.1,-,10000,No,15.2 in. W x 17.8 in. D x 29.4 in. H,15.2,17.8,29.4,7954.464
04201047000P,Portable Air Conditioners,Frigidaire,0,8.9,-,9000,No,20 in. W x 16.75 in. D x 32 in. H,20,16.75,32,10720
04201103000P,Window Air Conditioners,Haier,1297.5,10.7,-,14500,Yes,26.5 in. W x 26.5 in. D x 18.625 in. H,26.5,26.5,18.625,13079.40625
04201106000P,Window Air Conditioners,LG,1304,10.7,-,11500,No,23.63 in. W x 25.38 in. D x 17.06 in. H,23.63,25.38,17.06,10231.38356
04209182000P,Accessories,No Brand,-,-,-,-,-,-,-,-,-,-
